Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,1.56715E+11,1.7226E+11,2.07354E+11,2.27937E+11,2.46976E+11,2.87722E+11,3.15455E+11,2.41722E+11,2.71417E+11,3.23937E+11,3.00843E+11,3.12714E+11,3.10964E+11,2.50722E+11,2.69061E+11,3.00373E+11,3.27108E+11,3.17952E+11,2.96349E+11,3.78158E+11,4.11997E+11
Belize,"Goods exports (BoP, current US$)",119400000,124400000,129200000,126100000,140600000,132000000,156464000,164552000,171270000,193400000,186160000,241914011.7,261923857.6,253941945,294908237.2,300201564.6,289916809.1,308048780.4,408927959.7,416264480,479973484.8,383955784.5,475729501.2,603581171.1,627854152.7,608074014.1,588687029.1,537911604.9,442799709.7,457436755.1,451249163.1,425276780.1,288753129.1,422123245.5,494356198.2
Benin,"Goods exports (BoP, current US$)",190194187.6,187904202.2,237493803.3,373533212.8,345078690.5,393479252.1,397904595.8,419936213.6,522869180.5,424023277.1,414271319.3,421600058.4,393306762.3,373840199.8,449946156.5,542039308.7,569568439.2,578343031.8,736112437.2,1048143874,1287372078,1229494123,1282783671,1252444989,1442539725,1982438623,2566617493,2392374855,2835518188,2980590514,3344316328,3056477196,2995822076,3642106898,
Bermuda,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,25450000,25315598.7,23523951.86,28668980.41,14684082.32,12630185.5,11139986.93,12686934.28,21145965.41,21438542.45,18962110.01,18710619.31,16661582.45,18015224.84,10760815.43,9149997,
Bhutan,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,312020438.1,576549816.2,598869932.4,517952252.8,521649960.6,663687111.9,626875426.3,544473557.7,534675223.4,581541423.5,496545208.8,554623776.9,602753463.4,609343526.2,651940784.3,719359615.5,769177822.6
Bolivia,"Goods exports (BoP, current US$)",542500000,723500000,830800000,760300000,608400000,715500000,985100000,1041400000,1131990000,1090000000,1032000000,1005500000,1139092096,1188657426,1184341416,1492659722,2044256551,2622226566,3661955401,4262826734,6271446254,4709830000,6129300487,8174835185,11132827855,11538700931,12809705325,8684018276,7029946630,8133837887,8940200489,8827819916,7013096617,10966024556,13541191840
Bosnia and Herzegovina,"Goods exports (BoP, current US$)",,,,,,,,,,,663834835.1,831757777.9,1129815179,1134207360,1109709445,1477486792,2086675261,2555319693,3381442075,2486359677,3134155039,2685925194,3392868173,4290191684,3983877454,4510889026,4643390179,4079614411,4354547520,5410504388,6285525099,5825919178,5508172064,7673020643,8811568816
Botswana,"Goods exports (BoP, current US$)",1468948027,1819656449,1795356808,1871132312,1743923971,1722150573,1874325679,2160192482,2217532156,2819829460,2060630922,2658167681,2675138477,2314435140,2345620839,3024070308,3691882257,4438400213,4525608573,5162540114,4798259405,3335517335,4693348193,6419398068,5791620634,7906299961,8496040089,6271625273,7372657698,5963590764,6594497840,5259963076,4341311311,7429781653,8312499340
Brazil,"Goods exports (BoP, current US$)",33773000000,34375000000,31408000000,31619000000,35793000000,39624000000,44102000000,46506000000,47746000000,52787328532,51045291549,48197279310,55187572648,58105671219,60278560129,72883461454,96097603410,1.18414E+11,1.37709E+11,1.6054E+11,1.98214E+11,1.53525E+11,2.01197E+11,2.55403E+11,2.41982E+11,2.41511E+11,2.23971E+11,1.89914E+11,1.84267E+11,2.18E+11,2.3952E+11,2.258E+11,2.10707E+11,2.84012E+11,3.40328E+11
Brunei,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,3643592053,3708861472,4423954153,5068835389,6240958255,7626932018,7691599164,10697696963,7171881681,8799576438,12376247123,12881822980,11835474929,11111405941,6125471665,4811718565,5474293015,6470749447,7209991572,6535165749,11001133819,14129518561
Bulgaria,"Goods exports (BoP, current US$)",9283000000,8268000000,6113000000,3737000000,3956400000,3726500000,3935100000,5345000000,4890200000,3358500000,4193499000,4006367182,4824629175,5105025672,5352471319,7069157199,9921386893,11790949973,15154046460,19533494152,22503649095,16379999294,18741520000,26566780000,25263630000,28171460000,27891560000,24301220000,25549570000,30498370000,32721830000,32591960000,31160920000,40647310000,48272830000
Burkina Faso,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,481050691.6,607701814.1,655639140.9,861096332.6,903791077.9,1592528572,2402090825,2868098758,2663142644,2759035497,2364117633,2828797024,3250281395,3954237905,3927770512,4846982740,5678318202,
Burundi,"Goods exports (BoP, current US$)",124356280.5,93245798.32,72750983.55,92957742.6,76955327.82,73861108.82,80653045.07,112889502.8,40413326.87,87472476.53,64030789.9,54983253.85,49052598.96,39154897.91,31015982.64,37528126.21,48482605.14,60801764.34,58676450.91,58836291.5,69648172.76,68414018.28,101236293.9,123982004.7,134698608.2,94050454.72,131793726.8,120838349.4,124686434.8,172637712.5,180189335.8,,,,
Cambodia,"Goods exports (BoP, current US$)",,,,,264500000,283672000,489900000,855200000,643600000,736000000,802006672,1130339200,1397116191,1571184739,1769804974,2086800285,2588900439,2907982186,3692382885,3247780957,3493099141,3153637940,3902895992,5040651644,5683779668,7043869638,8168535518,9336304092,10272926617,11223642803,12962698484,14986142170,18522232765,19520944332,23178927520
Cameroon,"Goods exports (BoP, current US$)",1841206243,1853807568,2125357467,1957449402,1934060664,1507720408,1454166376,1735916523,2002277654,2036426882,1878073849,1738499321,1979110409,1876726282,1971419814,2489016048,2713046684,3266523818,3852066025,4962602734,5865264029,4080607775,4317471246,5660319955,5756784861,6081523886,6571041691,5219111886,4590922014,4603426012,5184326571,5525592952,4415761477,6005715846,
Canada,"Goods exports (BoP, current US$)",1.16465E+11,1.23871E+11,1.30075E+11,1.28583E+11,1.34791E+11,1.46957E+11,1.6657E+11,1.92931E+11,2.04868E+11,2.18462E+11,2.19948E+11,2.47714E+11,2.88048E+11,2.70784E+11,2.62513E+11,2.83881E+11,3.28561E+11,3.70565E+11,3.98505E+11,4.3051E+11,4.60229E+11,3.23035E+11,3.92359E+11,4.61445E+11,4.62922E+11,4.66457E+11,4.8047E+11,4.1113E+11,3.94137E+11,4.24111E+11,4.52323E+11,4.48869E+11,3.90498E+11,5.07598E+11,5.99065E+11
Cape Verde,"Goods exports (BoP, current US$)",15092517.43,20659138.2,18095757.14,12707620.49,10760305.85,7242628.92,12173645.81,14484342.47,18936338.86,40176474.8,21089709.05,14738691.25,30611338.59,28272786.15,31905444.31,41396788.4,42887873.15,77161967.31,85794542.08,69639337.54,102832037.3,79732824.16,122722538.5,196644687.9,179474285.2,194991262.4,264970053.8,158562229.1,155431963.7,189532019.9,273630686.3,265689765.1,128677755.3,178088566,281294988.2
Cayman Islands,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,634616538.5,370426440.6,309415669.5,434119764.7,612358069.4,,
Central African Republic,"Goods exports (BoP, current US$)",133662038.2,148093325.7,150537277.7,125622588.1,115855496.5,132453942.4,145892137.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,"Goods exports (BoP, current US$)",145889742.7,155359594.3,230253792.5,193536557.6,182298808.9,151789124.4,135299648.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Goods exports (BoP, current US$)",7054100000,8078400000,8372700000,8941500000,10007400000,9198700000,11604100000,16025000000,16626465804,17869877663,16322526210,17161948434,19209887166,18271390807,18178137790,21650906898,33025407004,41973992485,59380159233,68561364484,64510142785,55462671481,71108528876,81437843855,78283505945,77069617459,75324399113,62120249898,60769494235,68904187418,74838121947,68792346366,74024363033,94774015624,98548327680
China,"Goods exports (BoP, current US$)",41054000000,43220000000,51519000000,58919000000,69568000000,75659000000,1.02561E+11,1.2811E+11,1.51077E+11,82983000000,78985000000,83794000000,1.11332E+11,1.18463E+11,1.4546E+11,3.88298E+11,5.25615E+11,6.9487E+11,8.9766E+11,1.12274E+12,1.33456E+12,1.11909E+12,1.47807E+12,1.80781E+12,1.97352E+12,2.14859E+12,2.24376E+12,2.14275E+12,1.98952E+12,2.21621E+12,2.41744E+12,2.38664E+12,2.51001E+12,3.21584E+12,3.34688E+12
Colombia,"Goods exports (BoP, current US$)",5343000000,6031000000,7079000000,7507000000,7263200000,7428500000,9050197139,10592634724,10972379030,12084264961,11479103737,12026896970,13744694741,12860428586,12367040812,13798246747,17194908681,21708662781,25166243998,30555767082,38476021835,33977347462,40761915542,58262191478,61603864423,60282300134,56898749075,38572113082,34063233599,39785612624,42993049353,40655600660,32308967195,42735574446,59624151692
Comoros,"Goods exports (BoP, current US$)",21480921.53,18049840.09,17934898.65,24356221.03,21428877.09,21581424.34,10785333.13,11315399.32,,,,,,,,30078882.71,20841786.47,14391426.55,13325022.74,16516178.65,9853670.621,18950564.53,22597938.07,25827376.36,19506081.18,,25930916.69,16956644.84,30782877.96,39468627.35,43601538.25,40559137,22062069.42,35752052.51,55503345.66
"Congo, Dem. Rep.","Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,2402800000,2704700000,6147900000,6869800000,4371000000,8477900000,9471900000,8743370359,11612971601,12321200000,10284773560,11885542239,11548162610,15966849817,15031295906,13788701763,22185255469,
"Congo, Rep.","Goods exports (BoP, current US$)",843194567.3,1160471375,1388721630,1107736075,1178729372,1119145053,958925607.4,1286599269,1654850901,1661504005,1367794852,1560658964,2497989402,2057075021,2299611625,2642536302,3439349884,4747198295,6071103424,5713176683,8129317630,5779181390,8539145100,10931632940,9971577310,8925740752,8878638827,4680230465,4358647529,,,7589302641,4435821893,,
Costa Rica,"Goods exports (BoP, current US$)",1180700000,1333400000,1354200000,1498100000,1739100000,1866800000,2122000000,2569400000,2749610000,2902100000,3157610000,2626640447,4179869135,4195020731,4268892785,4607352359,5120469210,5568947320,6310766159,6874209427,7513776854,6622878484,7492546077,8301379073,8922635328,8866326406,9455567011,9452400028,10100261496,10810697189,11730272940,11831494437,12066682925,14872762800,16302003539
Cote d'Ivoire,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,7592014245,8369453548,8559332232,10292930967,11212909113,11421347029,12651630159,12122759836,12052756795,12984780627,11735247561,10882922075,11882442226,11917663545,12628493497,12499992628,15320271125,
